Titulo,Data
"MBRF (MBRF3) puxa queda do Ibovespa na semana, apesar de duas notícias positivas; entenda",27 minuto(s) atrás
"Cogna (COGN3) lidera os ganhos do Ibovespa, enquanto MBRF (MBRF3) é a ação com pior desempenho; veja os destaques da semana",1 hora(s) atrás
Medida do governo pode colocar até um ‘14º salário’ no bolso de 25% dos investidores brasileiros: saiba como transformá-lo em renda vitalícia,1 hora(s) atrás
A vaca mais cara do mundo: ‘Donna’ é vendida por R$ 54 milhões,1 hora(s) atrás
A bordo da noite: como é a viagem no trem noturno da Vale?,1 hora(s) atrás
Jair Bolsonaro é preso pela Polícia Federal,2 hora(s) atrás
Ibovespa a 174 mil pontos em 2026? EQI aposta que a bolsa ainda tem espaço para subir mais,3 hora(s) atrás
"Neoenergia (NEOE3) vende hidrelétrica em MT por R$ 2,5 bilhões e mantém participação indireta de 25%",16 hora(s) atrás
"Ibovespa destoa de Wall Street e encerra semana em queda; dólar sobe a R$ 5,40",17 hora(s) atrás
Wall Street tem forte recuperação e sobe 1% de olho em novo corte nos juros,17 hora(s) atrás
Eleições no Chile selam a guinada conservadora na América do Sul — o Brasil caminha na mesma direção?,17 hora(s) atrás
"R$ 2,5 por ação: Para Safra, Itaú (ITUB4) deve ter mais uma engorda de dividendos; veja quantos bilhões podem pingar",18 hora(s) atrás
"Dólar dispara a R$ 5,40 com desvalorização das commodities e juros dos EUA no radar",18 hora(s) atrás
Anvisa proíbe “canetas emagrecedoras” irregulares que tentam imitar efeito do Ozempic,18 hora(s) atrás
Alckmin diz que 22% das exportações para os EUA seguem sujeitas a tarifaço,19 hora(s) atrás
Ação da CVC (CVCB3) recua mais de 6% nesta sexta-feira (21); o que está por trás da queda?,19 hora(s) atrás
"Miran diz que apoiaria corte de 0,25 p.p. nos juros pelo Fed se seu voto definir redução",19 hora(s) atrás
Defesa de Bolsonaro pede que ex-presidente cumpra pena em casa por condenação em tentativa de golpe,19 hora(s) atrás
Argentina: Bolsa cai mais de 3% após ‘Pix’ de US$ 20 bi dos EUA ser suspenso e colocar em xeque Milei; entenda,19 hora(s) atrás
Lilly se torna primeira farmacêutica a atingir valor de mercado de US$ 1 trilhão,20 hora(s) atrás
Lilly se torna primeira farmacêutica a atingir valor de mercado de US$ 1 trilhão,20 hora(s) atrás
"Neoenergia (NEOE3) vende hidrelétrica em MT por R$ 2,5 bilhões e mantém participação indireta de 25%",16 hora(s) atrás
Lilly se torna primeira farmacêutica a atingir valor de mercado de US$ 1 trilhão,20 hora(s) atrás
"Oncoclínicas (ONCO3), 1,6 milhão de pessoas, fundos de pensão: Veja quem foi afetado pela liquidação do Banco Master (até agora)",20 hora(s) atrás
"Grupo Mateus (GMAT3): O erro de R$ 1,1 bilhão que custou o dobro para a varejista na bolsa de valores",20 hora(s) atrás
MBRF (MBRF3) e Minerva (BEEF3) saltam na B3 após decisão de Trump sobre tarifas,22 hora(s) atrás
Correios aprovam plano de reestruturação com crédito de até R$ 20 bilhões e reafirmam compromisso ‘inegociável’,23 hora(s) atrás
Gafisa (GFSA3) dispara 16% na bolsa após sequência de quedas,23 hora(s) atrás
GPA (PCAR3) confirma negociações para vender participação na financeira FIC,1 dia(s) atrás
GPA (PCAR3) confirma negociações para vender participação na financeira FIC,1 dia(s) atrás
"Localiza (RENT3): O que fazer com as ações após ‘pernada’ de 20% no mês, segundo Itaú BBA",1 dia(s) atrás
STF marca para o dia 27 julgamento de acordo entre Axia (AXIA3) e União sobre poder de voto na ex-Eletrobras,1 dia(s) atrás
Embraer (EMBJ3) firma novas parcerias estratégicas com o setor de defesa da Holanda,1 dia(s) atrás
"BBAS3, BPAC11, HAPV3, RDOR3 e mais: veja os destaques positivos e negativos do 3T25, segundo analista",1 dia(s) atrás
Magazine Luiza (MGLU3) tem potencial alavanca de vendas com o WhatsApp da Lu; entenda,1 dia(s) atrás
5 coisas que o novo Gemini faz e você provavelmente não sabia,1 dia(s) atrás
Ações da Nvidia (NVDA) oscilam após resultados acima do esperado; BTG aponta pontos a monitorar,1 dia(s) atrás
É hora de comprar Gerdau (GGBR4)? Itaú BBA destaca lucratividade em 2026,2 dia(s) atrás
É hora de comprar Gerdau (GGBR4)? Itaú BBA destaca lucratividade em 2026,2 dia(s) atrás
MP do DF pede nova investigação sobre compra do Master pelo BRB,2 dia(s) atrás
Braskem (BRKM5) diz que subsidiária Braskem Idesa não vai pagar juros de notas seniores,2 dia(s) atrás
Conselho do BRB (BSLI4) elege Nelson Antônio de Souza como presidente,2 dia(s) atrás
"Petrobras (PETR4) paga 1ª parcela de dividendos de R$ 8,66 bilhões na sexta-feira (21)",2 dia(s) atrás
Energisa (ENGI3) aprova dividendos de R$ 320 milhões e bonificação aos acionistas,2 dia(s) atrás
Vibra (VBBR3) aprova JCP de R$ 850 milhões e bonificação de ações de R$ 800 milhões,2 dia(s) atrás
"Total e Chevron lideram disputa para comprar descoberta de petróleo da Galp na Namíbia, dizem fontes",2 dia(s) atrás
"Nvidia (NVDC34) tem lucro de US$ 31,9 bilhões no 3T25, acima do esperado; Ações saltam no after market",2 dia(s) atrás
"Nvidia (NVDC34) tem lucro de US$ 31,9 bilhões no 3T25, acima do esperado; Ações saltam no after market",2 dia(s) atrás
Decisão judicial aponta “participação consciente” de executivos do BRB em fraude do Master,2 dia(s) atrás
Vale (VALE3) capta US$ 750 milhões em títulos híbridos e alonga dívida para 2056,2 dia(s) atrás
Axia Energia (AXIA3) entra em fase de crescimento e pode avaliar parcerias para mega leilões,2 dia(s) atrás
"Mercado Livre (MELI34): XP vê exagero na recente fraqueza das ações, mas derruba preço-alvo; hora de comprar?",2 dia(s) atrás
Por que 2026 pode ser o ano mais decisivo da história da Copel (CPLE3),2 dia(s) atrás
"Queda dos juros vem aí em 2026 e, para o BTG, o lucro desta empresa pode saltar até 75% a cada corte de 1 p.p. da Selic",2 dia(s) atrás
Líder do PT diz à PF que caso do Master deve checar uso de R$ 1 bi em recursos previdenciários,2 dia(s) atrás
"Construção civil surpreende no 3T25, mas há fôlego para mais?",2 dia(s) atrás
"Construção civil surpreende no 3T25, mas há fôlego para mais?",2 dia(s) atrás
"Assaí (ASAI3) opera em queda após Investor Day, mas é ‘compra’ para 4 analistas; veja por quê",2 dia(s) atrás
"Qual IA é a melhor para você: ChatGPT, Gemini ou Llama?",3 dia(s) atrás
"Empresa de inteligência artificial de Elon Musk, xAI quer levantar US$ 15 bi em avaliação de US$ 230 bilhões, diz publicação",3 dia(s) atrás
"Sequoia (SEQL3) aprova aumento de capital de R$ 40,3 milhões",3 dia(s) atrás
BRB diz que contratará auditoria externa para apurar fatos da operação Compliance Zero,3 dia(s) atrás
"Banco do Brasil (BBAS3), CSN (CSNA3), Magazine Luiza (MGLU3) e outros destaques desta quarta-feira (19)",3 dia(s) atrás
Investimentos bilionários e pagamento de JCP: Copel (CPLE3) detalha planos para 2026,3 dia(s) atrás
"Banco do Brasil (BBAS3) antecipa pagamento de R$ 261,6 milhões em JCP; veja quem recebe",3 dia(s) atrás
"Banco do Brasil (BBAS3) antecipa pagamento de R$ 261,6 milhões em JCP; veja quem recebe",3 dia(s) atrás
"Gafisa (GFSA3) aprova aumento de capital de até R$ 58,4 milhões",3 dia(s) atrás
Allos (ALOS3) e Multiplan (MULT3) inauguram expansão de shopping em Maceió,3 dia(s) atrás
Meta vence processo antitruste sobre aquisições do Instagram e WhatsApp,3 dia(s) atrás
"Renault e chinesa Geely anunciam investimento de R$ 3,8 bi no Paraná",3 dia(s) atrás
CSN (CSNA3) discute venda de fatia na MRS Logística para a CSN Mineração (CMIN3),3 dia(s) atrás
"Motiva (MOTV3) vende aeroportos à mexicana Asur por R$ 11,5 bilhões",3 dia(s) atrás
"Copel (CPLE3) pagará R$ 1,1 bilhão em juros sobre capital próprio",3 dia(s) atrás
BRB confirma nome de novo CEO; veja quem assume,3 dia(s) atrás
BRB confirma nome de novo CEO; veja quem assume,3 dia(s) atrás
A história do banco que estampou o boné azul de Ayrton Senna e acabou no centro de uma das maiores fraudes do sistema financeiro,3 dia(s) atrás
"Microsoft (MSFT) e Nvidia (NVDA) prometem investir na Anthropic, que se compromete a colocar até US$ 30 bilhões no Azure",3 dia(s) atrás
Garantias do caso Master vão drenar um terço do caixa do FGC; veja os valores,3 dia(s) atrás
Magazine Luiza (MGLU3) e Americanas (AMER3) fecham parceria para o e-commerce; veja,3 dia(s) atrás
Google lança Gemini 3 e incorpora modelo de inteligência artificial no buscador mais popular do planeta,3 dia(s) atrás
Vivara (VIVA3): um trimestre de ouro para a ‘ação da Gisele Bündchen’; hora de investir?,3 dia(s) atrás
Oncoclínicas (ONCO3) confirma vencimento antecipado de R$ 433 milhões em CDBs do Banco Master; entenda,3 dia(s) atrás
Master: Qual o prazo médio do FGC para dinheiro cair na conta?,3 dia(s) atrás
Master: Qual o prazo médio do FGC para dinheiro cair na conta?,3 dia(s) atrás
Liquidação do Banco Master marca 41ª intervenção do FGC em 30 anos,3 dia(s) atrás
"Com R$ 60 bilhões, resgate do Master é o maior da história do FGC; há risco sistêmico?",3 dia(s) atrás
"Raio-X do 3T25: Apenas 36% das empresas entregaram resultados sólidos, diz BTG; veja quem se saiu bem e quem decepcionou",3 dia(s) atrás
"Documentos falsos e fraude de R$ 12,2 bi: o que BC, MPF e PF acharam sobre Master e BRB",3 dia(s) atrás
"Liquidado: De crescimento acelerado à crise e prisão do dono, relembre como o Banco Master chegou até aqui",3 dia(s) atrás
"BRB: banco opera normalmente, nenhuma prisão foi feita e afastamento de presidente é temporário",3 dia(s) atrás
BC decreta regime de administração especial temporária (Raet) no Banco Master Múltiplo S.A.,3 dia(s) atrás
"O tamanho da fraude envolvida no Banco Master, segundo diretor da PF",4 dia(s) atrás
"O tamanho da fraude envolvida no Banco Master, segundo diretor da PF",4 dia(s) atrás
"Fitch rebaixa nota de crédito nacional do GPA (PCAR3), de olho na pressão financeira; veja detalhes",4 dia(s) atrás
Baldan realiza primeira venda em Tether (USDT) e espera movimentar R$ 1 milhão por mês com criptoativos,4 dia(s) atrás
Gol (GOLL54) informa vazamento de dados em sistema da Smiles; entenda os impactos,4 dia(s) atrás
BTG Pactual (BPAC11) propõe reorganização que transforma Banco Pan (BPAN4) em subsidiária; confira,4 dia(s) atrás
"Banco Master, Azul (AZUL4), Marcopolo (POMO4) e outros destaques desta terça-feira (18)",4 dia(s) atrás
Haddad diz que processo sobre Master deve ser robusto para BC decidir por liquidação,4 dia(s) atrás
Banco Master: PF prende Vorcaro e BC decreta liquidação extrajudicial; presidente do BRB é afastado,4 dia(s) atrás
A expectativa do CEO da Azevedo & Travassos (AZEV4) para o plano estratégico da Petrobras (PETR4),4 dia(s) atrás
A expectativa do CEO da Azevedo & Travassos (AZEV4) para o plano estratégico da Petrobras (PETR4),4 dia(s) atrás
Azzas 2154 (AZZA3) pagará R$ 180 milhões em dividendos; veja condições,4 dia(s) atrás
CVM entra com processo contra CEO da Azul (AZUL4),4 dia(s) atrás
Copel (CPLE3) divulga cronograma da migração ao Novo Mercado,4 dia(s) atrás
"Marcopolo (POMO4) anuncia distribuição de R$ 0,78 por ação em JCP e dividendos",4 dia(s) atrás
"XP (XPBR31) anuncia R$ 500 milhões em dividendos, após alta no lucro do 3T25",4 dia(s) atrás
MBRF (MBRF3) conclui processo para usar apenas ovos de galinhas livres com avanço no exterior,4 dia(s) atrás
Petrobras (PETR4): Nova descoberta de petróleo de ‘excelente qualidade’ terá impacto sobre as ações?,4 dia(s) atrás
Banco do Brasil (BBAS3) na briga pelos milionários: Banco lança cartão de altíssima renda; veja benefícios,4 dia(s) atrás
Banco do Brasil (BBAS3) na briga pelos milionários: Banco lança cartão de altíssima renda; veja benefícios,4 dia(s) atrás
