ticker;cnpj
PETR4.SA;33.000.167/0001-01
ITUB4.SA;60.872.504/0001-23
VALE3.SA;33.592.510/0001-54
BPAC11.SA;30.306.294/0001-45
ABEV3.SA;07.526.557/0001-00
WEGE3.SA;84.429.695/0001-11
BBDC3.SA;60.746.948/0001-12
ITSA4.SA;61.532.644/0001-15
BBAS3.SA;00.000.000/0001-91
SANB11.SA;90.400.888/0001-42
VIVT3.SA;02.558.157/0001-62
SBSP3.SA;43.776.517/0001-80
BBSE3.SA;17.344.597/0001-94
B3SA3.SA;09.346.601/0001-25
SUZB3.SA;16.404.287/0001-55
CPFE3.SA;02.429.144/0001-93
TIMS3.SA;02.421.421/0001-11
EQTL3.SA;03.220.438/0001-73
RENT3.SA;16.670.085/0001-55
RADL3.SA;61.585.865/0001-51
NEOE3.SA;01.083.200/0001-18
ENEV3.SA;08.802.455/0001-88
GGBR3.SA;33.611.500/0001-19
EGIE3.SA;02.474.103/0001-19
CMIG4.SA;17.155.730/0001-64
PRIO3.SA;10.629.105/0001-68
VBBR3.SA;24.187.056/0001-61
RAIL3.SA;02.387.241/0001-60
TOTS3.SA;53.113.791/0001-22
ENGI11.SA;00.825.966/0001-87
KLBN11.SA;89.637.490/0001-45
UGPA3.SA;33.256.439/0001-39
CSAN3.SA;50.746.577/0001-15
CSMG3.SA;17.281.106/0001-03
GOAU4.SA;07.545.289/0001-44
HYPE3.SA;33.600.082/0001-80
ALOS3.SA;05.878.397/0001-32
MULT3.SA;07.816.890/0001-53
TAEE11.SA;06.047.042/0001-63
LREN3.SA;92.754.738/0001-62
REDE3.SA;01.442.278/0001-80
CSNA3.SA;33.042.730/0001-04
CYRE3.SA;42.047.258/0001-72
ALUP11.SA;08.364.948/0001-38
FLRY3.SA;60.840.055/0001-31
USIM5.SA;17.186.378/0001-51
BRAP4.SA;03.847.461/0001-92
HAPV3.SA;05.197.443/0001-38
SLCE3.SA;89.096.457/0001-55
MGLU3.SA;47.960.950/0001-21
COGN3.SA;02.800.026/0001-40
BRKM5.SA;42.150.391/0001-70
BEEF3.SA;02.916.265/0001-60
MRVE3.SA;08.343.492/0001-20
DXCO3.SA;97.837.181/0001-47
IRBR3.SA;33.376.986/0001-91
EZTC3.SA;08.312.229/0001-73
YDUQ3.SA;08.807.432/0001-10
AZUL4.SA;09.305.994/0001-29